Player,Pos,Squad,Comp,Age,MP,Starts,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Ast_stats_passing,xAG_stats_passing,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,FK_stats_passing_types,Cmp_stats_passing_types,Blocks,PassLive,PassDead,Tkl,TklW,Tkl%,Blocks_stats_defense,Pass,Int,Tkl+Int,Clr,Tkld,Tkld%,Int_stats_misc,TklW_stats_misc
Ulisses Garcia,DF,Marseille,fr Ligue 1,28.0,20,10,976,ch SUI,DF,fr Ligue 1,28.0,1996.0,10.3,2,1.4,53,976,ch SUI,DF,fr Ligue 1,28.0,1996.0,10.3,632,15,535,15,15,0,14,11,28.6,5,4,8,22,18,11,61.1,8,11
Unai García,DF,Osasuna,es La Liga,32.0,3,1,977,es ESP,DF,es La Liga,32.0,1992.0,0.7,0,0.0,3,977,es ESP,DF,es La Liga,32.0,1992.0,0.7,38,2,36,0,0,0,0,0,,1,1,0,0,1,0,,0,0
James Garner,"MF,DF",Everton,eng Premier League,23.0,21,17,979,eng ENG,"MF,DF",eng Premier League,23.0,2001.0,17.7,1,1.4,50,979,eng ENG,"MF,DF",eng Premier League,23.0,2001.0,17.7,803,17,611,23,27,11,47,31,58.5,20,16,23,70,37,12,63.2,23,31
Yarek Gasiorowski,DF,Valencia,es La Liga,19.0,15,9,980,es ESP,DF,es La Liga,19.0,2005.0,10.5,0,0.1,38,980,es ESP,DF,es La Liga,19.0,2005.0,10.5,482,17,387,7,5,1,19,16,69.2,17,11,26,45,60,0,,26,16
Federico Gatti,DF,Juventus,it Serie A,26.0,30,26,981,it ITA,DF,it Serie A,26.0,1998.0,24.4,0,0.5,73,981,it ITA,DF,it Serie A,26.0,1998.0,24.4,1460,25,1387,6,17,0,28,23,58.3,27,9,18,46,76,5,38.5,18,23
Mory Gbane,"DF,MF",Reims,fr Ligue 1,23.0,13,13,985,ci CIV,"DF,MF",fr Ligue 1,23.0,2000.0,12.5,1,0.6,35,985,ci CIV,"DF,MF",fr Ligue 1,23.0,2000.0,12.5,524,11,447,6,16,1,20,11,54.2,12,2,18,38,90,2,28.6,18,11
Lutsharel Geertruida,DF,RB Leipzig,de Bundesliga,24.0,24,17,989,nl NED,DF,de Bundesliga,24.0,2000.0,17.3,0,1.0,93,989,nl NED,DF,de Bundesliga,24.0,2000.0,17.3,1109,22,961,12,22,1,35,24,48.4,15,11,16,51,59,7,50.0,16,24
Valentin Gendrey,DF,Lecce,it Serie A,24.0,2,2,991,fr FRA,DF,it Serie A,24.0,2000.0,2.0,0,0.1,5,991,fr FRA,DF,it Serie A,24.0,2000.0,2.0,55,0,42,0,2,1,2,2,100.0,3,2,2,4,1,0,,2,2
Valentin Gendrey,DF,Hoffenheim,de Bundesliga,24.0,22,14,992,fr FRA,DF,de Bundesliga,24.0,2000.0,15.7,1,1.8,49,992,fr FRA,DF,de Bundesliga,24.0,2000.0,15.7,690,7,482,17,27,5,30,12,61.1,19,14,15,45,53,8,72.7,15,12
Yannick Gerhardt,"MF,DF",Wolfsburg,de Bundesliga,30.0,29,15,995,de GER,"MF,DF",de Bundesliga,30.0,1994.0,16.9,1,0.2,57,995,de GER,"MF,DF",de Bundesliga,30.0,1994.0,16.9,667,12,513,19,23,0,28,16,36.7,32,24,17,45,47,7,87.5,17,16
Max Geschwill,DF,Holstein Kiel,de Bundesliga,23.0,19,13,996,de GER,DF,de Bundesliga,23.0,2001.0,14.2,2,0.8,58,996,de GER,DF,de Bundesliga,23.0,2001.0,14.2,668,16,496,18,18,2,26,21,73.7,14,5,30,56,53,3,60.0,30,21
Daniele Ghilardi,DF,Hellas Verona,it Serie A,21.0,24,21,997,it ITA,DF,it Serie A,21.0,2003.0,22.5,0,0.2,57,997,it ITA,DF,it Serie A,21.0,2003.0,22.5,807,19,633,10,11,0,44,29,61.0,29,14,30,74,106,2,22.2,30,29
Lautaro Gianetti,DF,Udinese,it Serie A,30.0,15,11,998,ar ARG,DF,it Serie A,30.0,1993.0,9.8,0,0.1,19,998,ar ARG,DF,it Serie A,30.0,1993.0,9.8,384,19,317,1,4,0,22,10,70.0,20,10,15,37,49,2,100.0,15,10
