Player,Nation,Pos,SpecificPos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,PPA,Succ,PrgC,Att_stats_possession,PrgR,SCA90,GCA90,Gls,xG,Sh,SoT,G/Sh,G/SoT,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,PPA_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,PrgC_p90,Gls_p90,xG_p90,Sh_p90,SoT_p90
Junya Ito,jp JPN,"FW,MF",WINGER,Reims,fr Ligue 1,31.0,33,31,2690,29.9,3,7.1,82,133,7,234,67,47,100,110,256,4.32,0.3,4,4.6,31,11,0.13,0.36,0.1,0.237,2.742,4.448,0.234,7.826,2.241,1.572,3.679,8.562,3.344,0.134,0.154,1.037,0.368
Alex Iwobi,ng NGA,"FW,MF",WINGER,Fulham,eng Premier League,28.0,38,35,2981,33.1,6,7.0,59,213,15,126,86,48,144,97,246,3.68,0.48,9,4.7,68,29,0.13,0.31,0.181,0.211,1.782,6.435,0.453,3.807,2.598,1.45,2.931,7.432,4.35,0.272,0.142,2.054,0.876
Nicolas Jackson,sn SEN,FW,STRIKER,Chelsea,eng Premier League,23.0,30,28,2220,24.7,5,4.3,28,38,1,3,10,18,47,61,129,2.8,0.41,10,12.3,76,34,0.13,0.29,0.202,0.174,1.134,1.538,0.04,0.121,0.405,0.729,2.47,5.223,1.903,0.405,0.498,3.077,1.377
Adnan Januzaj,be BEL,"MF,FW",WINGER,Las Palmas,es La Liga,29.0,18,5,598,6.6,1,1.1,17,41,8,65,14,14,24,38,58,5.57,0.75,2,0.8,16,5,0.13,0.4,0.152,0.167,2.576,6.212,1.212,9.848,2.121,2.121,5.758,8.788,3.636,0.303,0.121,2.424,0.758
Gabriel Jesus,br BRA,FW,STRIKER,Arsenal,eng Premier League,27.0,17,6,608,6.8,0,0.7,8,19,1,7,9,9,15,22,57,2.66,0.59,3,3.0,20,7,0.15,0.43,0.0,0.103,1.176,2.794,0.147,1.029,1.324,1.324,3.235,8.382,2.206,0.441,0.441,2.941,1.029
Alejandro Jiménez,es ESP,"DF,FW",WINGER,Milan,it Serie A,19.0,22,14,1266,14.1,1,1.3,12,37,3,37,12,26,55,47,72,2.42,0.28,0,0.8,15,5,0.0,0.0,0.071,0.092,0.851,2.624,0.213,2.624,0.851,1.844,3.333,5.106,3.901,0.0,0.057,1.064,0.355
Raúl Jiménez,mx MEX,FW,STRIKER,Fulham,eng Premier League,33.0,38,30,2494,27.7,3,3.3,24,62,3,23,14,21,35,50,125,2.38,0.25,12,12.0,93,30,0.1,0.3,0.108,0.119,0.866,2.238,0.108,0.83,0.505,0.758,1.805,4.513,1.264,0.433,0.433,3.357,1.083
João Pedro,br BRA,"FW,MF",WINGER,Brighton,eng Premier League,22.0,27,23,1948,21.6,6,5.0,30,78,10,22,36,29,66,86,128,3.32,0.42,10,8.9,42,15,0.12,0.33,0.278,0.231,1.389,3.611,0.463,1.019,1.667,1.343,3.981,5.926,3.056,0.463,0.412,1.944,0.694
Joelinton,br BRA,"MF,FW",WINGER/STRIKER,Newcastle Utd,eng Premier League,27.0,29,29,2393,26.6,3,2.5,23,116,7,16,17,15,40,46,110,2.29,0.34,4,3.9,45,13,0.09,0.31,0.113,0.094,0.865,4.361,0.263,0.602,0.639,0.564,1.729,4.135,1.504,0.15,0.147,1.692,0.489
Jofre,es ESP,"MF,FW",WINGER,Espanyol,es La Liga,23.0,37,26,2165,24.1,3,2.5,24,48,2,54,15,39,65,112,156,2.33,0.21,3,2.5,40,10,0.08,0.3,0.124,0.104,0.996,1.992,0.083,2.241,0.622,1.618,4.647,6.473,2.697,0.124,0.104,1.66,0.415
Ben Johnson,eng ENG,"DF,FW",WINGER/STRIKER,Ipswich Town,eng Premier League,24.0,23,14,1354,15.0,2,1.3,12,27,2,37,3,8,16,24,33,1.6,0.33,1,1.1,7,3,0.14,0.33,0.133,0.087,0.8,1.8,0.133,2.467,0.2,0.533,1.6,2.2,1.067,0.067,0.073,0.467,0.2
Brennan Johnson,wls WAL,FW,STRIKER,Tottenham,eng Premier League,23.0,33,24,2177,24.2,3,2.3,19,71,0,53,35,19,60,44,197,1.9,0.29,11,10.4,54,20,0.2,0.55,0.124,0.095,0.785,2.934,0.0,2.19,1.446,0.785,1.818,8.14,2.479,0.455,0.43,2.231,0.826
Diogo Jota,pt POR,FW,STRIKER,Liverpool,eng Premier League,27.0,26,14,1196,13.3,3,1.8,11,34,1,8,3,11,37,33,88,2.79,0.68,6,7.9,51,13,0.12,0.46,0.226,0.135,0.827,2.556,0.075,0.602,0.226,0.827,2.481,6.617,2.782,0.451,0.594,3.835,0.977
Antoine Joujou,fr FRA,"MF,FW",WINGER,Le Havre,fr Ligue 1,21.0,26,9,943,10.5,2,3.0,15,18,1,37,15,30,44,61,85,3.53,0.29,0,0.6,11,2,0.0,0.0,0.19,0.286,1.429,1.714,0.095,3.524,1.429,2.857,5.81,8.095,4.19,0.0,0.057,1.048,0.19
Luka Jović,rs SRB,"FW,MF",STRIKER,Milan,it Serie A,26.0,15,6,557,6.2,0,1.4,12,26,3,2,8,4,8,7,24,2.59,0.0,2,2.4,11,4,0.18,0.5,0.0,0.226,1.935,4.194,0.484,0.323,1.29,0.645,1.129,3.871,1.29,0.323,0.387,1.774,0.645
Juanmi,es ESP,"FW,MF",WINGER/STRIKER,Getafe,es La Liga,31.0,13,8,696,7.7,0,0.3,4,8,0,0,4,4,6,10,28,1.16,0.13,0,2.9,13,6,0.0,0.0,0.0,0.039,0.519,1.039,0.0,0.0,0.519,0.519,1.299,3.636,0.779,0.0,0.377,1.688,0.779
Vinicius Júnior,br BRA,FW,WINGER,Real Madrid,es La Liga,24.0,30,24,2253,25.0,8,8.0,58,85,15,56,36,82,169,191,256,5.39,0.72,11,10.4,78,24,0.12,0.38,0.32,0.32,2.32,3.4,0.6,2.24,1.44,3.28,7.64,10.24,6.76,0.44,0.416,3.12,0.96
Yaya Kader Fofana,ml MLI,"MF,FW",WINGER,Reims,fr Ligue 1,20.0,12,8,634,7.0,1,1.7,7,22,3,6,10,14,19,22,29,3.12,0.71,1,0.6,13,4,0.08,0.25,0.143,0.243,1.0,3.143,0.429,0.857,1.429,2.0,3.143,4.143,2.714,0.143,0.086,1.857,0.571
Tino Kadewere,zw ZIM,"MF,FW",STRIKER,Nantes,fr Ligue 1,28.0,12,6,512,5.7,2,1.0,8,19,1,2,3,4,5,15,27,3.34,0.35,1,1.7,8,6,0.13,0.17,0.351,0.175,1.404,3.333,0.175,0.351,0.526,0.702,2.632,4.737,0.877,0.175,0.298,1.404,1.053
Arnaud Kalimuendo,fr FRA,"FW,MF",STRIKER,Rennes,fr Ligue 1,22.0,33,31,2578,28.6,3,2.0,19,72,3,13,14,21,50,62,167,1.71,0.21,17,14.9,68,29,0.18,0.41,0.105,0.07,0.664,2.517,0.105,0.455,0.49,0.734,2.168,5.839,1.748,0.594,0.521,2.378,1.014
Harry Kane,eng ENG,FW,STRIKER,Bayern Munich,de Bundesliga,31.0,31,28,2381,26.5,9,5.3,35,97,17,13,36,23,29,53,143,3.36,0.79,26,20.3,105,45,0.16,0.38,0.34,0.2,1.321,3.66,0.642,0.491,1.358,0.868,2.0,5.396,1.094,0.981,0.766,3.962,1.698
Lee Kang-in,kr KOR,"FW,MF",WINGER,Paris S-G,fr Ligue 1,23.0,30,19,1663,18.5,6,5.6,56,143,13,94,43,29,50,51,138,5.26,0.33,6,3.5,41,14,0.15,0.43,0.324,0.303,3.027,7.73,0.703,5.081,2.324,1.568,2.757,7.459,2.703,0.324,0.189,2.216,0.757
